Run,DATA_QUALITY,LOT_ID,MachineRecipeID,PortID,ProcessOpNum,ProductGrpID,ProductID,RouteID,Technology,WAFER_ID,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33
62301,63.49,A,A,A,A,A,A,A,A,1,152.0,4.96,367.0,119.0,130.0,150.0,132.0,-76.0,3.0,0.2,7.0,6.34,0.5,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.47,4852.0,2802.0,1.0,6.0,3.0,1305.0,3106.0,11.0,65700.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,151.0,4.95,367.0,119.0,130.0,150.0,133.0,-76.0,3.0,0.3,7.0,6.34,0.5,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.47,4852.0,2802.0,0.0,6.0,3.0,1305.0,3106.0,11.0,69000.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,157.0,4.96,367.0,119.0,130.0,151.0,133.0,-76.0,3.0,0.3,7.0,6.34,0.5,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.47,4852.0,2801.0,1.0,6.0,3.0,1304.0,3107.0,11.0,75400.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,158.0,4.95,367.0,119.0,130.0,151.0,134.0,-76.0,3.0,0.3,7.0,6.34,0.5,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.47,4852.0,2801.0,1.0,6.0,3.0,1304.0,3107.0,11.0,79400.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,158.0,4.95,367.0,119.0,131.0,151.0,134.0,-76.0,3.0,0.3,7.0,6.35,0.51,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2801.0,0.0,7.0,3.0,1305.0,3107.0,11.0,81500.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,159.0,4.96,367.0,119.0,131.0,151.0,134.0,-76.0,3.0,0.4,7.0,6.33,0.49,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2802.0,1.0,6.0,3.0,1304.0,3104.0,11.0,83600.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,161.0,5.32,367.0,119.0,131.0,152.0,134.0,-76.0,3.0,0.3,7.0,6.34,0.5,9.49,968.0,111.0,16.06,175.0,84.0,13.02,211.0,2.47,4852.0,2802.0,0.0,7.0,3.0,1302.0,3107.0,16.0,700.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,126.0,7.15,366.0,119.0,131.0,152.0,135.0,-76.0,3.0,0.3,7.0,6.33,0.49,9.49,968.0,111.0,16.06,179.0,86.0,13.46,224.0,2.47,4852.0,2802.0,4.0,8.0,3.0,1304.0,3107.0,16.0,4800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,136.0,7.2,363.0,119.0,131.0,152.0,135.0,-76.0,3.0,0.3,7.0,6.33,0.49,9.49,968.0,111.0,16.06,179.0,86.0,13.46,226.0,2.47,4852.0,2802.0,2.0,6.0,2.0,1304.0,3104.0,16.0,9000.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,144.0,7.23,362.0,119.0,131.0,153.0,135.0,-76.0,3.0,0.4,7.0,6.33,0.49,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.51,4852.0,2802.0,1.0,5.0,2.0,1301.0,3106.0,16.0,12600.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,151.0,7.24,361.0,119.0,131.0,153.0,136.0,-76.0,3.0,0.3,7.0,6.33,0.49,9.49,968.0,111.0,16.06,179.0,86.0,13.46,226.0,2.47,4852.0,2802.0,1.0,5.0,2.0,1304.0,3103.0,16.0,14800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,16.0,7.25,360.0,119.0,132.0,153.0,136.0,-76.0,3.0,0.3,7.0,6.32,0.48,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.47,4852.0,2802.0,2.0,4.0,2.0,1304.0,3104.0,16.0,17300.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,11.0,7.26,359.0,119.0,132.0,153.0,136.0,-76.0,3.0,0.3,7.0,6.31,0.46,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.47,4852.0,2801.0,2.0,5.0,2.0,1302.0,3104.0,16.0,19800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,11.0,7.26,359.0,119.0,132.0,153.0,136.0,-76.0,3.0,0.4,7.0,6.32,0.47,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.51,4852.0,2803.0,1.0,5.0,2.0,1302.0,3104.0,16.0,21900.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,18.0,7.27,358.0,119.0,132.0,153.0,136.0,-76.0,3.0,0.3,7.0,6.31,0.47,9.49,968.0,111.0,16.06,179.0,86.0,13.46,226.0,2.47,4852.0,2802.0,1.0,4.0,2.0,1304.0,3104.0,16.0,24100.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,65.0,7.27,358.0,120.0,132.0,154.0,137.0,-76.0,3.0,0.3,7.0,6.31,0.47,9.49,968.0,111.0,16.03,179.0,86.0,13.46,227.0,2.47,4852.0,2803.0,0.0,5.0,2.0,1304.0,3106.0,16.0,28100.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,113.0,7.28,358.0,120.0,132.0,154.0,137.0,-76.0,3.0,0.3,7.0,6.3,0.46,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.47,4852.0,2803.0,0.0,5.0,2.0,1304.0,3104.0,16.0,31500.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,126.0,7.29,357.0,120.0,132.0,154.0,137.0,-76.0,3.0,0.4,7.0,6.3,0.46,9.49,968.0,111.0,16.06,179.0,86.0,13.46,226.0,2.47,4852.0,2802.0,1.0,6.0,2.0,1304.0,3104.0,16.0,33700.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,134.0,7.28,357.0,120.0,132.0,154.0,137.0,-76.0,3.0,0.3,7.0,6.3,0.46,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.47,4852.0,2801.0,1.0,6.0,2.0,1304.0,3106.0,16.0,36500.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,143.0,7.28,357.0,120.0,133.0,155.0,138.0,-76.0,3.0,0.4,7.0,6.3,0.46,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.47,4852.0,2802.0,2.0,6.0,2.0,1305.0,3106.0,16.0,38700.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,145.0,7.29,357.0,120.0,133.0,155.0,138.0,-76.0,3.0,0.4,7.0,6.3,0.46,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.51,4852.0,2802.0,2.0,6.0,2.0,1302.0,3106.0,16.0,40800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,150.0,7.3,357.0,120.0,133.0,155.0,138.0,-76.0,3.0,0.4,7.0,6.3,0.46,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.47,4852.0,2803.0,2.0,6.0,2.0,1302.0,3106.0,16.0,42900.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,153.0,7.3,357.0,120.0,133.0,155.0,138.0,-76.0,3.0,0.3,7.0,6.29,0.45,9.49,968.0,111.0,16.06,179.0,86.0,13.46,227.0,2.47,4852.0,2800.0,1.0,6.0,2.0,1302.0,3104.0,16.0,45100.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,152.0,5.8,356.0,120.0,133.0,155.0,138.0,-76.0,3.0,0.4,7.0,6.33,0.49,9.49,968.0,111.0,16.03,127.0,0.0,0.0,214.0,2.47,4852.0,1065.0,108.0,8.0,3.0,1304.0,3106.0,19.0,900.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,148.0,5.55,332.0,120.0,133.0,156.0,139.0,-76.0,3.0,0.0,7.0,6.39,0.0,9.5,968.0,111.0,16.03,127.0,0.0,0.01,229.0,2.51,4852.0,574.0,3.0,8.0,6.0,1306.0,3107.0,20.0,0.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,153.0,4.39,314.0,120.0,134.0,156.0,139.0,-76.0,3.0,0.0,7.0,5.88,0.0,9.49,968.0,111.0,16.03,127.0,0.0,0.0,209.0,2.47,4852.0,1.0,0.0,0.0,2.0,1002.0,2014.0,20.0,3100.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,155.0,4.3,311.0,120.0,134.0,156.0,139.0,4.0,3.0,0.0,7.0,5.87,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,208.0,2.47,4852.0,0.0,0.0,0.0,2.0,1001.0,2001.0,21.0,1800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,157.0,4.27,310.0,120.0,134.0,156.0,139.0,4.0,3.0,0.0,7.0,5.86,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,207.0,2.47,4852.0,1.0,0.0,0.0,2.0,1001.0,2000.0,21.0,4000.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,158.0,4.24,311.0,120.0,134.0,156.0,139.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.01,207.0,2.47,4852.0,0.0,0.0,0.0,2.0,1001.0,2001.0,22.0,600.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,157.0,4.21,316.0,120.0,134.0,156.0,139.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.01,207.0,2.47,4852.0,1.0,0.0,0.0,2.0,1001.0,2001.0,22.0,2700.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,158.0,4.2,325.0,120.0,134.0,156.0,138.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,207.0,2.51,4852.0,1.0,0.0,0.0,2.0,1001.0,2003.0,23.0,1600.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,157.0,4.19,326.0,120.0,134.0,156.0,138.0,7.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,206.0,2.51,4852.0,1.0,0.0,0.0,2.0,1001.0,2001.0,23.0,3800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,159.0,2.97,440.0,120.0,134.0,156.0,137.0,3.0,3.0,0.0,7.0,5.84,0.0,9.49,13.0,0.0,0.26,0.0,0.0,0.0,175.0,2.51,4852.0,0.0,0.0,0.0,2.0,181.0,491.0,24.0,1100.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,160.0,1.52,387.0,120.0,134.0,155.0,137.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,0.0,0.06,0.0,0.0,0.01,135.0,2.51,4852.0,1.0,0.0,0.0,0.0,3.0,4.0,24.0,3400.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,100.0,0.63,307.0,120.0,124.0,125.0,120.0,3.0,3.0,0.0,7.0,5.8,0.0,9.49,13.0,99.0,6.43,0.0,0.0,0.0,87.0,2.47,4853.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,81.0,-25.0
62302,65.71,A,A,A,A,A,A,A,A,4,108.0,2.6,307.0,120.0,124.0,124.0,120.0,3.0,3.0,0.0,7.0,5.79,0.0,9.49,13.0,96.0,14.98,0.0,0.0,0.0,131.0,2.47,4853.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1800.0,81.0,-25.0
62302,65.71,A,A,A,A,A,A,A,A,4,124.0,52.32,307.0,120.0,124.0,124.0,120.0,3.0,3.0,0.0,7.0,5.79,0.0,9.49,13.0,96.0,14.98,0.0,0.0,0.01,147.0,2.47,4853.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5200.0,81.0,-25.0
62302,65.71,A,A,A,A,A,A,A,A,4,135.0,10.97,314.0,119.0,124.0,124.0,120.0,3.0,3.0,0.0,6.99,5.79,0.0,9.49,13.0,96.0,14.98,0.0,0.0,0.01,157.0,2.47,4853.0,1.0,0.0,162.0,27.0,964.0,1164.0,4.0,900.0,81.0,225.0
62302,65.71,A,A,A,A,A,A,A,A,4,144.0,2.69,316.0,119.0,124.0,124.0,119.0,-72.0,3.0,0.0,7.0,5.8,0.0,9.49,968.0,110.0,15.97,127.0,0.0,0.01,166.0,2.47,4853.0,1.0,0.0,11.0,7.0,1284.0,3004.0,6.0,800.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,150.0,3.46,314.0,119.0,124.0,124.0,119.0,-72.0,3.0,0.0,7.0,5.81,0.0,9.49,968.0,111.0,16.03,127.0,0.0,0.01,191.0,2.47,4853.0,1.0,0.0,12.0,4.0,1304.0,3108.0,6.0,3200.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,148.0,3.88,309.0,119.0,124.0,125.0,120.0,-72.0,3.0,0.0,7.0,5.81,0.0,9.49,968.0,111.0,16.06,127.0,31.0,3.2,204.0,2.47,4853.0,0.0,0.0,11.0,4.0,1304.0,3110.0,7.0,700.0,81.0,1890.0
